Date, Open, High, Low, Close
10/06/23, 4.434, 4.554, 4.425, 4.441
10/05/23, 4.473, 4.548, 4.419, 4.434
10/04/23, 4.543, 4.585, 4.467, 4.473
10/03/23, 4.529, 4.552, 4.425, 4.543
10/02/23, 4.445, 4.548, 4.421, 4.529
09/29/23, 4.475, 4.484, 4.383, 4.445
09/28/23, 4.393, 4.588, 4.393, 4.475
09/27/23, 4.310, 4.408, 4.261, 4.393
09/26/23, 4.316, 4.348, 4.254, 4.310
09/25/23, 4.289, 4.364, 4.261, 4.316
09/22/23, 4.345, 4.345, 4.265, 4.289
09/21/23, 4.311, 4.431, 4.311, 4.345
09/20/23, 4.464, 4.464, 4.299, 4.311
09/19/23, 4.507, 4.540, 4.446, 4.464
09/18/23, 4.485, 4.563, 4.461, 4.507
09/15/23, 4.410, 4.509, 4.410, 4.485
09/14/23, 4.470, 4.482, 4.355, 4.410
09/13/23, 4.546, 4.577, 4.439, 4.470
09/12/23, 4.592, 4.594, 4.497, 4.546
09/11/23, 4.569, 4.648, 4.569, 4.592
09/08/23, 4.612, 4.629, 4.546, 4.569
09/07/23, 4.723, 4.723, 4.611, 4.612
09/06/23, 4.739, 4.767, 4.694, 4.723
09/05/23, 4.675, 4.750, 4.631, 4.739
09/04/23, 4.633, 4.681, 4.623, 4.675
09/01/23, 4.613, 4.645, 4.556, 4.633
08/31/23, 4.687, 4.704, 4.573, 4.613
08/30/23, 4.709, 4.790, 4.619, 4.687
08/29/23, 4.739, 4.782, 4.701, 4.709
08/28/23, 4.739, 4.739, 4.739, 4.739
08/25/23, 4.694, 4.818, 4.694, 4.739
08/24/23, 4.689, 4.746, 4.619, 4.694
08/23/23, 4.885, 4.922, 4.657, 4.689
08/22/23, 4.979, 4.979, 4.875, 4.885
08/21/23, 4.928, 5.002, 4.886, 4.979
08/18/23, 5.006, 5.006, 4.893, 4.928
08/17/23, 4.916, 5.017, 4.910, 5.006
08/16/23, 4.840, 4.921, 4.837, 4.916
08/15/23, 4.818, 4.965, 4.818, 4.840
08/14/23, 4.781, 4.864, 4.749, 4.818
08/11/23, 4.634, 4.794, 4.634, 4.781
08/10/23, 4.671, 4.732, 4.591, 4.634
08/09/23, 4.670, 4.719, 4.653, 4.671
08/08/23, 4.693, 4.693, 4.592, 4.670
08/07/23, 4.614, 4.763, 4.614, 4.693
08/04/23, 4.727, 4.775, 4.607, 4.614
08/03/23, 4.737, 4.775, 4.633, 4.727
08/02/23, 4.779, 4.810, 4.703, 4.737
08/01/23, 4.698, 4.805, 4.697, 4.779
07/31/23, 4.718, 4.761, 4.671, 4.698
07/28/23, 4.764, 4.780, 4.652, 4.718
07/27/23, 4.765, 4.825, 4.660, 4.764
07/26/23, 4.688, 4.784, 4.667, 4.765
07/25/23, 4.630, 4.713, 4.620, 4.688
07/24/23, 4.648, 4.663, 4.491, 4.630
07/21/23, 4.664, 4.724, 4.618, 4.648
07/20/23, 4.561, 4.673, 4.541, 4.664
07/19/23, 4.763, 4.763, 4.490, 4.561
07/18/23, 4.862, 4.862, 4.742, 4.763
07/17/23, 4.922, 4.941, 4.821, 4.862
07/14/23, 4.891, 4.948, 4.817, 4.922
07/13/23, 5.015, 5.015, 4.857, 4.891
07/12/23, 5.231, 5.231, 5.010, 5.015
07/11/23, 5.185, 5.236, 5.134, 5.231
07/10/23, 5.185, 5.259, 5.131, 5.185
07/07/23, 5.275, 5.299, 5.148, 5.185
07/06/23, 5.180, 5.370, 5.180, 5.275
07/05/23, 5.108, 5.223, 5.070, 5.180
07/04/23, 5.116, 5.158, 5.050, 5.108
07/03/23, 5.047, 5.178, 5.038, 5.116
06/30/23, 5.009, 5.099, 5.005, 5.047
06/29/23, 4.924, 5.070, 4.923, 5.009
06/28/23, 5.053, 5.101, 4.907, 4.924
06/27/23, 4.940, 5.083, 4.912, 5.053
06/26/23, 4.956, 4.967, 4.885, 4.940
06/23/23, 4.879, 4.985, 4.725, 4.956
06/22/23, 4.900, 4.956, 4.762, 4.879
06/21/23, 4.818, 5.011, 4.818, 4.900
06/20/23, 4.952, 4.953, 4.775, 4.818
06/19/23, 4.800, 4.956, 4.794, 4.952
06/16/23, 4.768, 4.837, 4.721, 4.800
06/15/23, 4.721, 4.822, 4.690, 4.768
06/14/23, 4.795, 4.817, 4.693, 4.721
06/13/23, 4.559, 4.808, 4.559, 4.795
06/12/23, 4.461, 4.584, 4.454, 4.559
06/09/23, 4.424, 4.495, 4.382, 4.461
06/08/23, 4.481, 4.517, 4.403, 4.424
06/07/23, 4.389, 4.494, 4.363, 4.481
06/06/23, 4.349, 4.428, 4.297, 4.389
06/05/23, 4.281, 4.384, 4.281, 4.349
06/02/23, 4.222, 4.323, 4.222, 4.281
06/01/23, 4.279, 4.330, 4.188, 4.222
05/31/23, 4.341, 4.356, 4.254, 4.279
05/30/23, 4.444, 4.524, 4.341, 4.341
05/28/23, 4.444, 4.444, 4.444, 4.444
05/26/23, 4.513, 4.565, 4.407, 4.444
05/25/23, 4.316, 4.528, 4.316, 4.513
05/24/23, 4.121, 4.373, 4.121, 4.316
05/23/23, 4.036, 4.181, 4.035, 4.121
05/22/23, 3.922, 4.048, 3.894, 4.036
05/19/23, 3.918, 4.049, 3.872, 3.922
05/18/23, 3.806, 3.931, 3.806, 3.918
05/17/23, 3.752, 3.809, 3.711, 3.806
05/16/23, 3.764, 3.765, 3.661, 3.752
05/15/23, 3.734, 3.780, 3.711, 3.764
05/12/23, 3.671, 3.750, 3.637, 3.734
05/11/23, 3.761, 3.765, 3.627, 3.671
05/10/23, 3.802, 3.842, 3.749, 3.761
05/09/23, 3.720, 3.818, 3.719, 3.802
05/08/23, 3.720, 3.720, 3.720, 3.720
05/05/23, 3.613, 3.765, 3.613, 3.720
05/04/23, 3.706, 3.771, 3.597, 3.613
05/03/23, 3.682, 3.748, 3.635, 3.706
05/02/23, 3.813, 3.816, 3.654, 3.682
04/30/23, 3.719, 3.719, 3.719, 3.719
04/28/23, 3.769, 3.769, 3.672, 3.719
04/27/23, 3.681, 3.772, 3.663, 3.769
04/26/23, 3.677, 3.717, 3.606, 3.681
04/25/23, 3.762, 3.762, 3.609, 3.677
04/24/23, 3.741, 3.783, 3.704, 3.762
