"Date","Price","Open","High","Low","Change %"
"04/05/2023","4.444","4.444","4.444","4.444","-1.11%"
"03/05/2023","4.494","4.553","4.553","4.494","-0.93%"
"02/05/2023","4.536","4.514","4.536","4.514","1.91%"
"01/05/2023","4.451","4.439","4.452","4.439","-0.02%"
"28/04/2023","4.452","4.439","4.452","4.439","0.18%"
"27/04/2023","4.444","4.423","4.444","4.423","0.86%"
"26/04/2023","4.406","4.419","4.419","4.406","-1.70%"
"25/04/2023","4.482","4.482","4.482","4.482","3.27%"
"24/04/2023","4.340","4.340","4.340","4.340","-0.80%"
"21/04/2023","4.375","4.379","4.379","4.375","-0.41%"
"20/04/2023","4.393","4.469","4.469","4.393","-1.99%"
"19/04/2023","4.482","4.411","4.482","4.411","3.25%"
"18/04/2023","4.341","4.382","4.382","4.341","0.53%"
"17/04/2023","4.318","4.309","4.318","4.309","0.98%"
"14/04/2023","4.276","4.315","4.315","4.276","-0.83%"
"13/04/2023","4.312","4.312","4.312","4.312","0.23%"
"12/04/2023","4.302","4.302","4.302","4.302","-0.44%"
"11/04/2023","4.321","4.294","4.321","4.294","0.96%"
"10/04/2023","4.280","4.283","4.283","4.280","-0.49%"
"07/04/2023","4.301","4.301","4.301","4.301","0.42%"
"06/04/2023","4.283","4.283","4.283","4.283","0.26%"
"05/04/2023","4.272","4.272","4.272","4.272","-0.35%"
"04/04/2023","4.287","4.287","4.287","4.287","4.31%"
"03/04/2023","4.110","4.110","4.110","4.110","0.02%"
"31/03/2023","4.109","4.105","4.109","4.105","0.00%"
"30/03/2023","4.109","4.109","4.109","4.109","0.10%"
"29/03/2023","4.105","4.105","4.105","4.105","-0.19%"
"28/03/2023","4.113","4.113","4.113","4.113","-2.05%"
"27/03/2023","4.199","4.168","4.199","4.168","-2.30%"
"24/03/2023","4.298","4.311","4.311","4.298","-0.32%"
"23/03/2023","4.312","4.312","4.312","4.312","-0.53%"
"22/03/2023","4.335","4.193","4.335","4.193","6.35%"
"21/03/2023","4.076","4.043","4.076","4.043","1.14%"
"20/03/2023","4.030","4.061","4.061","4.030","-0.91%"
