"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2023","7,451.54","7,412.45","7,488.60","7,409.74","615.22M","0.53%"
"04/10/2023","7,412.45","7,470.16","7,490.18","7,384.20","1.08B","-0.77%"
"03/10/2023","7,470.16","7,510.72","7,545.67","7,466.62","534.75M","-0.54%"
"02/10/2023","7,510.72","7,608.08","7,630.41","7,491.30","570.11M","-1.28%"
"29/09/2023","7,608.08","7,601.85","7,674.19","7,601.85","633.59M","0.08%"
"28/09/2023","7,601.85","7,593.22","7,605.55","7,524.11","633.80M","0.11%"
"27/09/2023","7,593.22","7,625.72","7,645.55","7,577.23","711.17M","-0.43%"
"26/09/2023","7,625.72","7,623.99","7,656.94","7,593.54","545.49M","0.02%"
"25/09/2023","7,623.99","7,683.91","7,684.82","7,580.81","538.94M","-0.78%"
"22/09/2023","7,683.91","7,678.62","7,735.16","7,640.80","984.62M","0.07%"
"21/09/2023","7,678.62","7,731.65","7,746.53","7,674.70","1.00B","-0.69%"
"20/09/2023","7,731.65","7,660.20","7,741.90","7,659.61","805.82M","0.93%"
"19/09/2023","7,660.20","7,652.94","7,682.38","7,642.36","595.49M","0.09%"
"18/09/2023","7,652.94","7,711.38","7,720.14","7,641.76","461.13M","-0.76%"
"15/09/2023","7,711.38","7,673.08","7,745.82","7,673.08","1.80B","0.50%"
"14/09/2023","7,673.08","7,525.99","7,686.96","7,525.99","740.69M","1.95%"
"13/09/2023","7,525.99","7,527.53","7,545.16","7,490.37","684.59M","-0.02%"
"12/09/2023","7,527.53","7,496.87","7,550.24","7,496.34","661.20M","0.41%"
"11/09/2023","7,496.87","7,478.19","7,549.34","7,467.35","564.85M","0.25%"
"08/09/2023","7,478.19","7,441.72","7,480.64","7,402.10","651.30M","0.49%"
"07/09/2023","7,441.72","7,426.14","7,462.18","7,385.92","453.22M","0.21%"
"06/09/2023","7,426.14","7,437.93","7,447.94","7,369.64","448.10M","-0.16%"
"05/09/2023","7,437.93","7,452.76","7,481.35","7,389.80","484.03M","-0.20%"
"04/09/2023","7,452.76","7,464.54","7,523.40","7,448.31","391.51M","-0.16%"
"01/09/2023","7,464.54","7,439.13","7,492.63","7,439.13","680.28M","0.34%"
"31/08/2023","7,439.13","7,473.67","7,500.44","7,439.13","1.14B","-0.46%"
"30/08/2023","7,473.67","7,464.99","7,509.36","7,464.73","533.76M","0.12%"
"29/08/2023","7,464.99","7,338.58","7,471.14","7,338.58","1.11B","1.72%"
"25/08/2023","7,338.58","7,333.63","7,389.40","7,326.97","363.80M","0.07%"
"24/08/2023","7,333.63","7,320.53","7,386.08","7,320.53","377.23M","0.18%"
"23/08/2023","7,320.53","7,270.76","7,348.84","7,270.76","874.76M","0.68%"
"22/08/2023","7,270.76","7,257.82","7,310.52","7,257.58","745.82M","0.18%"
"21/08/2023","7,257.82","7,262.43","7,315.97","7,250.88","469.44M","-0.06%"
"18/08/2023","7,262.43","7,310.21","7,310.21","7,215.76","571.46M","-0.65%"
"17/08/2023","7,310.21","7,356.88","7,356.96","7,305.00","438.19M","-0.63%"
"16/08/2023","7,356.88","7,389.64","7,398.20","7,338.53","686.64M","-0.44%"
"15/08/2023","7,389.64","7,507.15","7,508.58","7,369.69","463.07M","-1.57%"
"14/08/2023","7,507.15","7,524.16","7,530.25","7,476.45","1.14B","-0.23%"
"11/08/2023","7,524.16","7,618.60","7,618.60","7,507.84","487.00M","-1.24%"
"10/08/2023","7,618.60","7,587.30","7,622.92","7,572.61","636.54M","0.41%"
"09/08/2023","7,587.30","7,527.42","7,600.79","7,527.42","788.32M","0.80%"
"08/08/2023","7,527.42","7,554.49","7,554.49","7,487.47","862.21M","-0.36%"
"07/08/2023","7,554.49","7,564.37","7,564.95","7,505.15","483.36M","-0.13%"
"04/08/2023","7,564.37","7,529.16","7,569.55","7,487.36","503.24M","0.47%"
"03/08/2023","7,529.16","7,561.63","7,562.13","7,437.88","1.24B","-0.43%"
"02/08/2023","7,561.63","7,666.27","7,666.27","7,522.24","745.64M","-1.36%"
"01/08/2023","7,666.27","7,699.41","7,715.24","7,650.15","556.25M","-0.43%"
"31/07/2023","7,699.41","7,694.27","7,722.92","7,667.81","593.69M","0.07%"
"28/07/2023","7,694.27","7,692.76","7,716.82","7,680.19","710.94M","0.02%"
"27/07/2023","7,692.76","7,676.89","7,709.66","7,662.40","963.65M","0.21%"
"26/07/2023","7,676.89","7,691.80","7,702.74","7,630.00","807.17M","-0.19%"
"25/07/2023","7,691.80","7,678.59","7,702.35","7,676.50","433.68M","0.17%"
"24/07/2023","7,678.59","7,663.73","7,684.97","7,633.29","521.47M","0.19%"
"21/07/2023","7,663.73","7,646.05","7,674.23","7,639.45","506.40M","0.23%"
"20/07/2023","7,646.05","7,588.20","7,661.87","7,585.85","631.30M","0.76%"
"19/07/2023","7,588.20","7,453.69","7,625.14","7,453.69","841.73M","1.80%"
"18/07/2023","7,453.69","7,406.42","7,459.15","7,398.53","464.63M","0.64%"
"17/07/2023","7,406.42","7,434.57","7,437.61","7,395.67","435.68M","-0.38%"
"14/07/2023","7,434.57","7,440.21","7,480.43","7,421.31","497.56M","-0.08%"
"13/07/2023","7,440.21","7,416.11","7,457.20","7,409.25","584.51M","0.32%"
"12/07/2023","7,416.11","7,282.52","7,425.10","7,282.52","994.05M","1.83%"
"11/07/2023","7,282.52","7,273.79","7,285.33","7,239.23","495.97M","0.12%"
"10/07/2023","7,273.79","7,256.94","7,306.09","7,238.72","428.03M","0.23%"
"07/07/2023","7,256.94","7,280.50","7,280.50","7,229.57","493.78M","-0.32%"
"06/07/2023","7,280.50","7,442.10","7,442.10","7,267.62","743.92M","-2.17%"
"05/07/2023","7,442.10","7,519.72","7,519.72","7,434.66","690.59M","-1.03%"
"04/07/2023","7,519.72","7,527.26","7,547.38","7,518.36","588.11M","-0.10%"
"03/07/2023","7,527.26","7,531.53","7,561.26","7,513.93","533.59M","-0.06%"
"30/06/2023","7,531.53","7,471.69","7,551.59","7,471.69","729.20M","0.80%"
"29/06/2023","7,471.69","7,500.49","7,505.61","7,460.53","607.91M","-0.38%"
"28/06/2023","7,500.49","7,461.46","7,518.33","7,461.46","639.84M","0.52%"
"27/06/2023","7,461.46","7,453.58","7,495.88","7,428.11","673.46M","0.11%"
"26/06/2023","7,453.58","7,461.87","7,476.45","7,401.18","850.08M","-0.11%"
"23/06/2023","7,461.87","7,502.03","7,502.03","7,439.72","620.87M","-0.54%"
"22/06/2023","7,502.03","7,559.18","7,559.18","7,458.35","654.66M","-0.76%"
"21/06/2023","7,559.18","7,569.31","7,577.60","7,520.92","610.36M","-0.13%"
"20/06/2023","7,569.31","7,588.48","7,607.53","7,566.33","580.00M","-0.25%"
"19/06/2023","7,588.48","7,642.72","7,642.72","7,581.84","437.65M","-0.71%"
"16/06/2023","7,642.72","7,628.26","7,687.61","7,627.83","2.01B","0.19%"
"15/06/2023","7,628.26","7,602.74","7,632.67","7,584.78","837.69M","0.34%"
"14/06/2023","7,602.74","7,594.78","7,639.79","7,579.27","677.23M","0.10%"
"13/06/2023","7,594.78","7,570.69","7,610.77","7,556.32","1.00B","0.32%"
"12/06/2023","7,570.69","7,562.36","7,599.87","7,556.81","538.22M","0.11%"
"09/06/2023","7,562.36","7,599.74","7,621.72","7,546.50","562.14M","-0.49%"
"08/06/2023","7,599.74","7,624.34","7,638.61","7,587.99","528.47M","-0.32%"
"07/06/2023","7,624.34","7,628.10","7,642.40","7,604.42","612.86M","-0.05%"
"06/06/2023","7,628.10","7,599.99","7,636.06","7,556.16","666.96M","0.37%"
"05/06/2023","7,599.99","7,607.28","7,654.84","7,594.13","548.34M","-0.10%"
"02/06/2023","7,607.28","7,490.27","7,614.89","7,490.02","632.69M","1.56%"
"01/06/2023","7,490.27","7,446.14","7,498.59","7,445.30","962.69M","0.59%"
"31/05/2023","7,446.14","7,522.07","7,522.07","7,446.14","2.28B","-1.01%"
"30/05/2023","7,522.07","7,627.20","7,628.12","7,516.52","837.72M","-1.38%"
"26/05/2023","7,627.20","7,570.87","7,643.56","7,556.92","687.53M","0.74%"
"25/05/2023","7,570.87","7,627.10","7,629.08","7,569.17","723.91M","-0.74%"
"24/05/2023","7,627.10","7,762.95","7,762.95","7,590.24","988.49M","-1.75%"
"23/05/2023","7,762.95","7,770.99","7,800.85","7,747.09","697.20M","-0.10%"
"22/05/2023","7,770.99","7,756.87","7,783.40","7,750.53","960.83M","0.18%"
"19/05/2023","7,756.87","7,742.30","7,790.92","7,742.13","631.10M","0.19%"
"18/05/2023","7,742.30","7,723.23","7,776.58","7,723.23","751.79M","0.25%"
"17/05/2023","7,723.23","7,751.08","7,758.15","7,713.03","665.41M","-0.36%"
"16/05/2023","7,751.08","7,777.70","7,804.93","7,741.29","1.08B","-0.34%"
"15/05/2023","7,777.70","7,754.62","7,794.89","7,754.62","731.05M","0.30%"
"12/05/2023","7,754.62","7,730.58","7,772.79","7,729.01","744.75M","0.31%"
"11/05/2023","7,730.58","7,741.33","7,784.28","7,679.61","883.22M","-0.14%"
"10/05/2023","7,741.33","7,764.09","7,778.98","7,727.12","711.30M","-0.29%"
"09/05/2023","7,764.09","7,778.38","7,792.35","7,735.08","949.73M","-0.18%"
"05/05/2023","7,778.38","7,778.38","7,778.38","7,778.38","607.79M","0.98%"
"04/05/2023","7,702.64","7,788.37","7,788.37","7,691.25","773.16M","-1.10%"
"03/05/2023","7,788.37","7,773.03","7,819.66","7,773.03","896.77M","0.20%"
"02/05/2023","7,773.03","7,870.57","7,898.69","7,773.03","980.26M","-1.24%"
"28/04/2023","7,870.57","7,831.58","7,870.57","7,791.63","942.97M","0.50%"
"27/04/2023","7,831.58","7,852.64","7,865.73","7,816.83","668.18M","-0.27%"
"26/04/2023","7,852.64","7,891.13","7,893.95","7,825.93","901.07M","-0.49%"
"25/04/2023","7,891.13","7,912.20","7,912.52","7,863.85","646.70M","-0.27%"
"24/04/2023","7,912.20","7,914.13","7,927.11","7,877.58","719.42M","-0.02%"
"21/04/2023","7,914.13","7,902.61","7,936.11","7,886.46","627.24M","0.15%"
"20/04/2023","7,902.61","7,898.77","7,902.95","7,876.35","918.03M","0.05%"
"19/04/2023","7,898.77","7,909.44","7,909.44","7,871.43","504.39M","-0.13%"
"18/04/2023","7,909.44","7,879.51","7,912.73","7,879.51","530.24M","0.38%"
"17/04/2023","7,879.51","7,871.91","7,916.67","7,871.91","590.69M","0.10%"
"14/04/2023","7,871.91","7,843.38","7,904.04","7,843.38","859.07M","0.36%"
"13/04/2023","7,843.38","7,824.84","7,851.57","7,814.11","723.49M","0.24%"
"12/04/2023","7,824.84","7,785.72","7,859.67","7,783.40","714.51M","0.50%"
"11/04/2023","7,785.72","7,741.56","7,806.39","7,741.56","999.45M","0.57%"
"06/04/2023","7,741.56","7,662.94","7,742.11","7,654.54","589.45M","1.03%"
"05/04/2023","7,662.94","7,634.52","7,678.45","7,634.26","658.65M","0.37%"
