"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/2023","1,519.80","1,530.20","1,533.20","1,511.20","7.72M","0.04%"
"11/10/2023","1,519.20","1,514.00","1,563.20","1,514.00","5.22M","-0.14%"
"10/10/2023","1,521.40","1,517.60","1,525.40","1,512.20","4.41M","0.88%"
"09/10/2023","1,508.20","1,502.00","1,521.00","1,498.60","3.23M","0.59%"
"06/10/2023","1,499.40","1,494.60","1,503.40","1,470.20","3.73M","1.11%"
"05/10/2023","1,483.00","1,485.20","1,491.60","1,471.40","4.38M","-0.26%"
"04/10/2023","1,486.80","1,480.40","1,497.40","1,474.00","11.17M","0.11%"
"03/10/2023","1,485.20","1,488.60","1,504.00","1,479.40","6.11M","0.08%"
"02/10/2023","1,484.00","1,482.60","1,502.40","1,471.20","6.65M","-0.54%"
"29/09/2023","1,492.00","1,487.60","1,501.80","1,481.40","6.51M","-0.13%"
"28/09/2023","1,494.00","1,523.40","1,523.60","1,489.80","6.34M","-1.62%"
"27/09/2023","1,518.60","1,536.00","1,539.00","1,514.60","5.49M","-0.89%"
"26/09/2023","1,532.20","1,540.00","1,554.60","1,532.20","4.99M","-0.23%"
"25/09/2023","1,535.80","1,522.20","1,538.20","1,517.60","4.14M","0.52%"
"22/09/2023","1,527.80","1,529.80","1,544.20","1,518.60","7.18M","-0.18%"
"21/09/2023","1,530.60","1,536.00","1,550.80","1,530.60","8.28M","-0.25%"
"20/09/2023","1,534.40","1,513.80","1,534.40","1,512.60","11.55M","2.09%"
"19/09/2023","1,503.00","1,503.20","1,506.60","1,489.20","5.05M","-0.16%"
"18/09/2023","1,505.40","1,509.00","1,522.00","1,499.20","4.61M","-0.28%"
"15/09/2023","1,509.60","1,502.00","1,518.80","1,495.80","16.60M","1.51%"
"14/09/2023","1,487.20","1,470.00","1,491.00","1,462.20","5.34M","1.60%"
"13/09/2023","1,463.80","1,465.60","1,470.00","1,454.40","3.89M","-0.19%"
"12/09/2023","1,466.60","1,475.00","1,484.00","1,459.20","3.83M","-0.15%"
"11/09/2023","1,468.80","1,460.40","1,482.20","1,453.60","6.56M","1.70%"
"08/09/2023","1,444.20","1,395.40","1,448.60","1,390.40","17.50M","4.03%"
"07/09/2023","1,388.20","1,369.60","1,390.20","1,365.22","2.40M","0.84%"
"06/09/2023","1,376.60","1,366.00","1,380.60","1,359.60","3.01M","-0.35%"
"05/09/2023","1,381.40","1,367.40","1,390.40","1,363.00","6.74M","0.57%"
"04/09/2023","1,373.60","1,391.60","1,395.40","1,372.20","2.24M","-1.01%"
"01/09/2023","1,387.60","1,392.40","1,393.40","1,384.00","3.30M","-0.09%"
"31/08/2023","1,388.80","1,400.00","1,405.20","1,388.80","5.97M","-0.63%"
"30/08/2023","1,397.60","1,400.80","1,405.20","1,394.00","3.93M","-0.01%"
"29/08/2023","1,397.80","1,389.40","1,417.40","1,386.80","10.53M","1.73%"
"25/08/2023","1,374.00","1,368.20","1,378.80","1,365.35","2.63M","0.17%"
"24/08/2023","1,371.60","1,371.40","1,388.27","1,366.60","2.48M","0.50%"
"23/08/2023","1,364.80","1,358.60","1,383.00","1,354.67","10.02M","0.57%"
"22/08/2023","1,357.00","1,349.40","1,359.00","1,340.60","4.93M","0.71%"
"21/08/2023","1,347.40","1,346.60","1,353.00","1,342.60","3.41M","-0.12%"
"18/08/2023","1,349.00","1,358.00","1,361.00","1,341.60","4.37M","-0.65%"
"17/08/2023","1,357.80","1,353.00","1,359.20","1,340.00","3.11M","-0.93%"
"16/08/2023","1,370.60","1,382.40","1,385.00","1,366.00","3.84M","-0.48%"
"15/08/2023","1,377.20","1,392.20","1,395.80","1,368.40","3.47M","-0.63%"
"14/08/2023","1,386.00","1,384.80","1,393.80","1,382.40","4.06M","1.09%"
"11/08/2023","1,371.00","1,380.00","1,385.20","1,361.80","4.88M","-1.20%"
"10/08/2023","1,387.60","1,386.20","1,387.60","1,375.00","3.62M","0.29%"
"09/08/2023","1,383.60","1,375.80","1,385.04","1,370.00","13.73M","1.36%"
"08/08/2023","1,365.00","1,354.20","1,372.20","1,352.00","9.14M","0.95%"
"07/08/2023","1,352.20","1,351.60","1,355.80","1,347.00","2.39M","0.39%"
"04/08/2023","1,347.00","1,346.20","1,349.40","1,330.19","2.62M","0.12%"
"03/08/2023","1,345.40","1,361.20","1,367.60","1,337.80","4.06M","-1.61%"
"02/08/2023","1,367.40","1,358.60","1,372.80","1,346.96","3.89M","-0.31%"
"01/08/2023","1,371.60","1,382.40","1,387.20","1,371.60","2.93M","-0.94%"
"31/07/2023","1,384.60","1,382.00","1,391.80","1,377.00","4.86M","0.12%"
"28/07/2023","1,383.00","1,403.60","1,410.20","1,381.60","4.66M","-1.61%"
"27/07/2023","1,405.60","1,399.20","1,423.60","1,392.60","12.99M","1.46%"
"26/07/2023","1,385.40","1,378.00","1,419.00","1,374.20","6.22M","-0.55%"
"25/07/2023","1,393.00","1,388.00","1,393.60","1,379.60","4.23M","-0.20%"
"24/07/2023","1,395.80","1,388.80","1,397.00","1,378.80","2.79M","0.55%"
"21/07/2023","1,388.20","1,390.00","1,396.60","1,375.20","4.66M","0.07%"
"20/07/2023","1,387.20","1,364.80","1,390.20","1,364.80","5.44M","1.97%"
"19/07/2023","1,360.40","1,338.00","1,370.00","1,336.95","3.36M","2.09%"
"18/07/2023","1,332.60","1,314.40","1,337.20","1,314.40","4.40M","1.06%"
"17/07/2023","1,318.60","1,318.80","1,328.40","1,317.40","3.03M","-0.12%"
"14/07/2023","1,320.20","1,316.00","1,335.00","1,313.60","4.10M","-0.74%"
"13/07/2023","1,330.00","1,327.80","1,341.60","1,327.11","5.96M","-0.14%"
"12/07/2023","1,331.80","1,320.60","1,332.80","1,312.00","5.63M","1.05%"
"11/07/2023","1,318.00","1,312.40","1,318.20","1,302.60","8.71M","0.11%"
"10/07/2023","1,316.60","1,314.60","1,329.20","1,312.00","4.36M","0.05%"
"07/07/2023","1,316.00","1,319.00","1,333.00","1,310.40","6.08M","-1.56%"
"06/07/2023","1,336.80","1,360.00","1,364.60","1,336.00","5.23M","-2.18%"
"05/07/2023","1,366.60","1,376.00","1,379.20","1,364.60","4.82M","-0.90%"
"04/07/2023","1,379.00","1,388.40","1,396.80","1,377.60","5.14M","-0.55%"
"03/07/2023","1,386.60","1,388.80","1,404.40","1,382.40","3.64M","-0.16%"
"30/06/2023","1,388.80","1,400.80","1,407.00","1,382.20","7.80M","-0.37%"
"29/06/2023","1,394.00","1,401.80","1,410.20","1,387.40","5.12M","-0.60%"
"28/06/2023","1,402.40","1,400.20","1,411.80","1,395.60","5.39M","0.01%"
"27/06/2023","1,402.20","1,422.40","1,430.20","1,398.80","3.79M","-1.24%"
"26/06/2023","1,419.80","1,432.20","1,437.00","1,414.60","5.74M","-0.38%"
"23/06/2023","1,425.20","1,390.00","1,444.00","1,382.26","12.84M","4.87%"
