"Date","Price","Open","High","Low","Vol.","Change %"
"21/04/2023","530.00","533.20","533.20","527.00","39.25M","-0.13%"
"20/04/2023","530.70","533.60","533.60","528.00","29.72M","-0.88%"
"19/04/2023","535.40","542.10","543.60","530.80","33.90M","-1.67%"
"18/04/2023","544.50","544.50","546.40","538.30","25.25M","0.13%"
"17/04/2023","543.80","545.00","551.00","543.50","36.27M","0.52%"
"14/04/2023","541.00","538.80","543.35","534.40","23.31M","0.43%"
"13/04/2023","538.70","536.50","539.60","534.11","30.98M","-0.17%"
"12/04/2023","539.60","537.80","543.70","535.70","27.57M","0.48%"
"11/04/2023","537.00","536.40","540.40","532.30","49.31M","0.96%"
"06/04/2023","531.90","533.20","537.74","531.10","29.37M","-0.34%"
"05/04/2023","533.70","527.60","536.60","527.00","45.27M","1.23%"
"04/04/2023","527.20","536.80","536.90","526.80","39.40M","-1.03%"
"03/04/2023","532.70","530.00","540.30","529.80","52.89M","4.29%"
"31/03/2023","510.80","510.90","514.80","508.00","45.71M","-0.47%"
"30/03/2023","513.20","509.30","518.20","506.66","44.73M","0.53%"
"29/03/2023","510.50","510.40","513.12","507.20","23.93M","0.53%"
"28/03/2023","507.80","508.60","510.51","503.10","33.56M","2.30%"
"27/03/2023","496.40","497.25","500.40","485.20","33.98M","2.08%"
"24/03/2023","486.30","495.95","495.95","473.70","37.05M","-2.49%"
"23/03/2023","498.70","504.70","505.30","496.75","35.77M","-1.13%"
"22/03/2023","504.40","500.00","507.90","497.40","66.80M","0.20%"
"21/03/2023","503.40","492.00","508.40","489.90","37.83M","3.37%"
"20/03/2023","487.00","471.85","492.50","467.00","49.52M","1.47%"
"17/03/2023","479.95","489.35","504.20","476.75","197.24M","-0.52%"
"16/03/2023","482.45","500.00","500.37","470.80","71.64M","-0.89%"
"15/03/2023","486.80","527.00","527.24","485.95","70.31M","-8.29%"
"14/03/2023","530.80","522.00","533.50","512.80","38.26M","1.59%"
"13/03/2023","522.50","544.30","544.60","514.90","51.72M","-4.86%"
"10/03/2023","549.20","546.80","550.80","542.60","44.29M","-1.40%"
"09/03/2023","557.00","558.40","560.45","552.40","41.48M","-0.25%"
"08/03/2023","558.40","558.40","564.16","557.50","67.82M","-0.02%"
"07/03/2023","558.50","560.50","563.28","555.10","27.54M","-0.16%"
"06/03/2023","559.40","550.80","560.00","550.80","32.84M","0.74%"
"03/03/2023","555.30","561.00","561.70","542.80","29.91M","-1.05%"
"02/03/2023","561.20","552.00","563.80","550.30","57.81M","1.98%"
"01/03/2023","550.30","553.70","560.00","550.10","63.87M","-0.04%"
"28/02/2023","550.50","557.90","561.80","550.50","108.22M","-1.38%"
"27/02/2023","558.20","554.00","560.40","553.50","41.33M","1.45%"
"24/02/2023","550.20","551.30","555.90","547.70","28.27M","0.59%"
"23/02/2023","547.00","536.70","551.40","534.80","26.81M","1.41%"
"22/02/2023","539.40","547.00","550.30","536.40","34.24M","-1.98%"
"21/02/2023","550.30","556.60","560.20","549.67","26.51M","-1.42%"
"20/02/2023","558.20","558.00","562.20","556.00","17.65M","-0.30%"
"17/02/2023","559.90","564.00","564.60","556.30","49.78M","-1.36%"
"16/02/2023","567.60","560.20","567.70","551.30","33.83M","1.41%"
"15/02/2023","559.70","561.80","565.10","557.40","39.84M","-0.07%"
"14/02/2023","560.10","558.00","565.20","555.90","39.90M","0.48%"
"13/02/2023","557.40","559.90","560.65","551.70","31.98M","-0.46%"
"10/02/2023","560.00","547.50","570.57","541.60","66.05M","2.62%"
"09/02/2023","545.70","532.90","545.70","531.93","55.67M","2.34%"
"08/02/2023","533.20","528.00","535.00","516.40","53.02M","3.25%"
"07/02/2023","516.40","494.15","516.40","488.00","84.69M","7.95%"
"06/02/2023","478.35","488.50","488.50","475.50","27.37M","-1.58%"
"03/02/2023","486.05","477.85","492.35","477.50","27.24M","1.51%"
"02/02/2023","478.80","491.50","492.55","478.50","31.67M","-2.77%"
"01/02/2023","492.45","491.05","496.65","486.85","36.69M","0.74%"
"31/01/2023","488.85","489.55","490.10","482.20","23.84M","-0.65%"
"30/01/2023","492.05","487.75","496.35","486.30","26.54M","0.56%"
"27/01/2023","489.30","487.60","496.60","484.20","28.47M","1.05%"
"26/01/2023","484.20","476.10","484.65","475.30","25.75M","2.00%"
"25/01/2023","474.70","475.30","478.00","468.60","27.79M","-0.12%"
"24/01/2023","475.25","483.45","483.45","472.75","28.26M","-1.15%"
"23/01/2023","480.80","475.55","482.45","475.05","20.94M","1.04%"
"20/01/2023","475.85","479.85","482.75","474.70","37.32M","0.24%"
"19/01/2023","474.70","478.50","480.75","471.65","28.84M","-2.37%"
"18/01/2023","486.20","480.00","489.45","479.65","26.57M","0.32%"
"17/01/2023","484.65","480.10","487.55","478.00","20.21M","0.76%"
"16/01/2023","481.00","485.50","487.85","480.00","16.58M","-0.69%"
"13/01/2023","484.35","483.00","486.55","482.55","20.93M","-0.13%"
"12/01/2023","485.00","481.35","486.65","478.60","22.24M","1.35%"
"11/01/2023","478.55","476.90","481.15","474.25","23.42M","0.73%"
"10/01/2023","475.10","475.55","482.25","474.05","37.70M","-0.88%"
"09/01/2023","479.30","478.00","485.45","477.25","27.42M","0.47%"
"06/01/2023","477.05","473.80","480.15","473.80","42.73M","1.12%"
"05/01/2023","471.75","468.00","474.30","465.45","23.21M","1.27%"
"04/01/2023","465.85","474.00","475.90","465.00","38.32M","-3.62%"
"03/01/2023","483.35","481.40","496.90","481.29","28.93M","1.78%"
"30/12/2022","474.90","478.45","480.50","474.90","10.81M","-1.22%"
"29/12/2022","480.75","474.20","480.85","472.80","11.30M","0.07%"
"28/12/2022","480.40","487.75","489.95","477.25","21.03M","0.31%"
"23/12/2022","478.90","475.00","478.90","473.75","26.53M","0.21%"
"22/12/2022","477.90","482.10","485.07","476.50","19.38M","-0.44%"
"21/12/2022","480.00","466.95","480.65","466.15","28.93M","2.68%"
"20/12/2022","467.45","462.10","470.80","461.05","30.26M","0.18%"
"19/12/2022","466.60","458.95","470.30","457.40","25.47M","2.46%"
"16/12/2022","455.40","466.75","468.25","455.40","130.52M","-2.24%"
"15/12/2022","465.85","468.40","472.05","464.75","33.73M","-0.79%"
"14/12/2022","469.55","470.30","475.63","467.55","29.48M","-0.32%"
"13/12/2022","471.05","465.85","472.85","463.50","27.94M","1.94%"
"12/12/2022","462.10","459.70","465.65","456.75","29.67M","0.03%"
"09/12/2022","461.95","462.35","465.59","455.00","55.25M","-0.43%"
"08/12/2022","463.95","467.30","474.45","463.95","30.12M","-0.01%"
"07/12/2022","464.00","470.45","473.80","463.05","37.02M","-2.24%"
"06/12/2022","474.65","480.70","483.50","470.90","46.82M","-1.83%"
"05/12/2022","483.50","479.25","489.27","477.37","26.78M","0.54%"
"02/12/2022","480.90","485.00","486.30","474.50","38.40M","-1.75%"
"01/12/2022","489.45","493.50","495.90","486.95","34.52M","-1.62%"
"30/11/2022","497.50","492.50","503.30","492.05","109.45M","1.11%"
"29/11/2022","492.05","486.00","496.75","486.00","33.01M","1.76%"
"28/11/2022","483.55","479.80","484.85","475.05","36.53M","-0.98%"
"25/11/2022","488.35","482.35","493.05","482.17","24.95M","0.99%"
"24/11/2022","483.55","485.15","487.85","479.95","20.53M","0.09%"
"23/11/2022","483.10","490.00","498.60","482.75","40.32M","-1.00%"
"22/11/2022","488.00","471.00","488.00","470.50","49.89M","6.52%"
"21/11/2022","458.15","475.30","477.60","456.50","50.89M","-3.76%"
"18/11/2022","476.05","483.00","486.20","469.50","36.37M","-0.54%"
"17/11/2022","478.65","476.70","482.45","476.60","37.39M","-0.56%"
"16/11/2022","481.35","479.45","488.25","478.96","36.97M","0.90%"
"15/11/2022","477.05","477.85","480.60","472.55","29.12M","-0.72%"
"14/11/2022","480.50","477.40","483.30","472.35","26.39M","0.44%"
"11/11/2022","478.40","475.35","483.40","471.98","35.66M","1.63%"
"10/11/2022","470.75","473.50","486.40","470.75","46.15M","-2.35%"
"09/11/2022","482.10","485.85","488.60","481.35","40.88M","-0.74%"
"08/11/2022","485.70","497.60","501.80","485.70","40.74M","-3.21%"
"07/11/2022","501.80","497.10","503.30","494.45","29.20M","0.37%"
"04/11/2022","499.95","495.95","504.40","493.00","41.90M","1.31%"
"03/11/2022","493.50","482.15","494.30","477.95","34.75M","1.89%"
"02/11/2022","484.35","483.40","486.90","476.85","29.62M","-0.43%"
"01/11/2022","486.45","479.50","486.90","474.20","32.42M","1.39%"
"31/10/2022","479.80","474.00","484.00","467.10","32.32M","1.45%"
"28/10/2022","472.95","472.00","479.30","471.00","25.30M","-1.86%"
