"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","147.35","146.45","147.35","144.05","15.17M","1.10%"
"03/01/2024","145.75","141.40","145.78","140.45","34.60M","3.15%"
"02/01/2024","141.30","141.00","142.30","140.20","17.84M","0.46%"
"29/12/2023","140.65","141.65","141.75","140.20","6.70M","-0.50%"
"28/12/2023","141.35","141.85","142.30","141.00","6.82M","-0.56%"
"27/12/2023","142.15","141.50","143.15","140.20","8.80M","0.18%"
"22/12/2023","141.90","142.45","143.15","141.65","17.65M","-0.42%"
"21/12/2023","142.50","141.95","143.45","141.15","10.34M","0.21%"
"20/12/2023","142.20","142.55","143.15","139.35","18.74M","0.60%"
"19/12/2023","141.35","142.00","143.20","140.35","17.99M","-0.49%"
"18/12/2023","142.05","138.50","142.85","137.45","23.25M","0.18%"
"15/12/2023","141.80","142.40","144.25","139.65","60.63M","-1.49%"
"14/12/2023","143.95","146.80","148.10","142.50","26.81M","-1.61%"
"13/12/2023","146.30","144.75","146.76","142.40","27.79M","1.32%"
"12/12/2023","144.40","143.75","146.40","142.85","19.69M","0.45%"
"11/12/2023","143.75","149.55","149.90","143.00","33.21M","-3.81%"
"08/12/2023","149.45","149.75","150.55","148.00","45.99M","0.03%"
"07/12/2023","149.40","150.50","151.25","147.95","18.89M","-0.83%"
"06/12/2023","150.65","149.60","151.40","149.45","19.03M","0.90%"
"05/12/2023","149.30","150.85","152.40","147.20","15.43M","-1.42%"
"04/12/2023","151.45","151.55","153.85","149.88","11.69M","-0.72%"
"01/12/2023","152.55","149.10","153.05","149.00","11.43M","2.35%"
"30/11/2023","149.05","147.45","149.20","146.45","34.65M","1.12%"
"29/11/2023","147.40","149.00","149.15","144.50","11.84M","-1.17%"
"28/11/2023","149.15","148.30","149.85","147.80","19.74M","0.10%"
"27/11/2023","149.00","148.40","149.30","147.10","10.22M","0.54%"
"24/11/2023","148.20","147.50","148.20","146.05","8.83M","0.47%"
"23/11/2023","147.50","146.65","148.10","145.50","9.68M","0.72%"
"22/11/2023","146.45","148.25","149.20","146.25","22.40M","-1.08%"
"21/11/2023","148.05","150.25","152.00","147.05","15.70M","-1.89%"
"20/11/2023","150.90","151.35","153.45","150.15","15.22M","-0.56%"
"17/11/2023","151.75","149.90","151.95","148.20","31.35M","1.64%"
"16/11/2023","149.30","148.00","150.60","147.55","15.56M","1.15%"
"15/11/2023","147.60","149.25","150.65","145.26","24.25M","-1.47%"
"14/11/2023","149.80","152.45","153.25","148.10","12.82M","-1.29%"
"13/11/2023","151.75","152.60","152.60","149.05","16.69M","-0.23%"
"10/11/2023","152.10","151.85","152.65","150.95","15.41M","0.43%"
"09/11/2023","151.45","148.10","151.95","147.08","14.78M","1.78%"
"08/11/2023","148.80","149.75","150.25","147.35","22.04M","-1.36%"
"07/11/2023","150.85","153.45","154.50","150.54","32.81M","-2.30%"
"06/11/2023","154.40","152.20","155.35","151.85","20.67M","0.72%"
"03/11/2023","153.30","157.05","158.75","151.55","30.12M","-2.73%"
"02/11/2023","157.60","163.60","165.15","157.15","19.64M","-2.90%"
"01/11/2023","162.30","158.35","163.20","158.35","36.19M","3.18%"
"31/10/2023","157.30","156.45","159.00","156.10","18.25M","0.83%"
"30/10/2023","156.00","156.10","158.65","155.25","11.50M","0.58%"
"27/10/2023","155.10","158.90","158.90","154.85","7.90M","-1.80%"
"26/10/2023","157.95","157.30","158.70","156.10","9.67M","0.35%"
"25/10/2023","157.40","157.90","158.05","155.40","21.41M","-0.32%"
"24/10/2023","157.90","154.90","158.70","153.45","17.64M","2.04%"
"23/10/2023","154.75","157.65","158.30","153.50","13.36M","-1.59%"
"20/10/2023","157.25","156.50","158.65","155.50","16.39M","0.10%"
"19/10/2023","157.10","159.70","161.30","156.35","11.00M","-2.03%"
"18/10/2023","160.35","157.40","160.57","156.25","15.46M","1.46%"
"17/10/2023","158.05","156.00","159.05","155.25","18.01M","1.31%"
"16/10/2023","156.00","158.35","159.30","155.00","21.74M","-0.61%"
"13/10/2023","156.95","158.30","158.85","156.20","13.08M","-0.03%"
