"Date","Price","Open","High","Low","Vol.","Change %"
"30/11/2023","863.00","856.00","868.20","836.80","11.54M","1.03%"
"29/11/2023","854.20","872.20","880.20","854.20","4.85M","-3.52%"
"28/11/2023","885.40","902.00","915.40","885.40","4.14M","-2.57%"
"27/11/2023","908.80","929.00","929.00","908.64","1.58M","-1.39%"
"24/11/2023","921.60","925.00","925.00","910.80","15.09M","0.39%"
"23/11/2023","918.00","917.40","921.60","906.00","6.20M","0.33%"
"22/11/2023","915.00","916.00","923.60","910.60","9.89M","-0.48%"
"21/11/2023","919.40","932.00","937.60","916.80","3.09M","-2.19%"
"20/11/2023","940.00","943.20","951.40","932.10","5.79M","-0.53%"
"17/11/2023","945.00","926.60","954.80","912.00","5.47M","2.99%"
"16/11/2023","917.60","927.20","946.80","916.60","9.10M","-2.28%"
"15/11/2023","939.00","919.40","951.40","919.40","7.71M","1.67%"
"14/11/2023","923.60","903.40","926.80","890.60","5.52M","2.80%"
"13/11/2023","898.40","884.60","898.40","883.00","2.38M","1.81%"
"10/11/2023","882.40","884.40","893.00","874.80","3.00M","-2.19%"
"09/11/2023","902.20","881.60","904.80","879.20","3.99M","1.21%"
"08/11/2023","891.40","891.60","909.40","880.40","15.30M","-1.18%"
"07/11/2023","902.00","888.00","907.38","882.80","3.55M","0.27%"
"06/11/2023","899.60","884.20","914.80","876.60","27.18M","0.02%"
"03/11/2023","899.40","893.20","905.80","882.00","5.12M","3.19%"
"02/11/2023","871.60","865.40","880.60","865.40","7.31M","1.59%"
"01/11/2023","858.00","858.40","870.40","850.32","5.88M","0.02%"
"31/10/2023","857.80","861.00","876.60","857.20","6.08M","-0.46%"
"30/10/2023","861.80","848.60","866.40","847.00","7.01M","2.21%"
"27/10/2023","843.20","835.00","860.00","824.40","3.98M","1.64%"
"26/10/2023","829.60","815.20","833.40","815.20","3.16M","-0.36%"
"25/10/2023","832.60","829.40","835.80","815.80","3.77M","-0.24%"
"24/10/2023","834.60","829.00","834.60","815.00","7.09M","0.48%"
"23/10/2023","830.60","831.80","837.40","814.00","3.45M","0.05%"
"20/10/2023","830.20","851.80","856.20","830.20","7.66M","-3.42%"
"19/10/2023","859.60","862.80","876.40","857.80","11.45M","-1.96%"
"18/10/2023","876.80","889.00","896.20","873.80","6.23M","-1.28%"
"17/10/2023","888.20","893.00","904.80","878.40","3.63M","-1.16%"
"16/10/2023","898.60","879.40","902.80","879.40","2.77M","1.65%"
"13/10/2023","884.00","903.80","909.00","879.80","4.07M","-2.77%"
"12/10/2023","909.20","915.60","918.40","902.80","16.13M","0.15%"
"11/10/2023","907.80","887.80","916.40","887.80","7.95M","1.41%"
"10/10/2023","895.20","878.80","909.60","878.80","19.89M","3.11%"
"09/10/2023","868.20","866.20","870.20","855.80","5.33M","0.07%"
"06/10/2023","867.60","862.20","882.40","860.40","3.49M","1.45%"
"05/10/2023","855.20","860.80","868.40","851.20","2.97M","-0.19%"
"04/10/2023","856.80","852.00","871.40","850.60","3.14M","-0.30%"
"03/10/2023","859.40","849.60","873.60","849.22","5.89M","-0.09%"
"02/10/2023","860.20","889.80","894.20","855.40","9.23M","-3.22%"
"29/09/2023","888.80","893.40","900.60","888.60","6.20M","0.77%"
"28/09/2023","882.00","884.00","886.60","872.20","6.13M","-0.90%"
"27/09/2023","890.00","886.20","895.80","882.40","3.65M","0.45%"
"26/09/2023","886.00","874.60","892.00","871.60","3.76M","1.05%"
"25/09/2023","876.80","888.00","907.40","870.40","4.64M","-2.71%"
"22/09/2023","901.20","906.80","908.60","897.53","5.17M","-0.92%"
"21/09/2023","909.60","900.40","920.40","900.40","5.10M","-1.54%"
"20/09/2023","923.80","923.20","934.00","920.32","3.33M","0.63%"
"19/09/2023","918.00","912.00","924.80","909.54","5.35M","0.42%"
"18/09/2023","914.20","932.00","941.20","909.00","3.53M","-2.91%"
"15/09/2023","941.60","943.80","948.07","928.20","12.07M","1.33%"
"14/09/2023","929.20","904.00","932.60","897.80","4.40M","2.47%"
"13/09/2023","906.80","888.80","906.80","882.20","17.52M","1.77%"
"12/09/2023","891.00","893.20","904.60","889.00","5.37M","-0.20%"
"11/09/2023","892.80","914.80","916.60","891.20","3.07M","-0.42%"
"08/09/2023","896.60","906.40","910.00","893.00","11.36M","-0.75%"
"07/09/2023","903.40","915.40","921.40","900.60","17.86M","-3.19%"
"06/09/2023","933.20","950.00","950.60","925.89","3.38M","-2.26%"
"05/09/2023","954.80","957.00","965.40","953.60","2.79M","-1.53%"
"04/09/2023","969.60","985.00","988.88","965.80","1.96M","-0.02%"
"01/09/2023","969.80","970.20","978.40","963.60","6.67M","0.37%"
"31/08/2023","966.20","997.40","1,001.00","966.20","7.38M","-3.36%"
"30/08/2023","999.80","1,001.00","1,030.96","992.40","9.92M","1.52%"
"29/08/2023","984.80","979.80","995.40","973.00","37.23M","4.01%"
"25/08/2023","946.80","961.00","961.00","942.00","5.20M","-1.44%"
"24/08/2023","960.60","971.80","978.00","956.20","1.80M","-0.31%"
"23/08/2023","963.60","950.00","964.00","946.20","2.97M","2.27%"
"22/08/2023","942.20","940.60","947.00","935.40","8.31M","0.79%"
"21/08/2023","934.80","942.00","942.00","932.80","2.66M","-1.29%"
"18/08/2023","947.00","966.40","973.00","940.80","4.49M","-3.19%"
"17/08/2023","978.20","972.00","995.40","972.00","2.64M","-0.20%"
"16/08/2023","980.20","973.20","994.20","972.00","6.45M","0.02%"
"15/08/2023","980.00","1,003.00","1,004.50","972.27","4.05M","-2.15%"
"14/08/2023","1,001.50","1,001.00","1,005.00","985.60","15.73M","-0.69%"
"11/08/2023","1,008.50","1,028.00","1,038.50","1,003.50","3.74M","-2.89%"
"10/08/2023","1,038.50","1,022.50","1,047.50","1,022.00","5.67M","2.26%"
"09/08/2023","1,015.50","1,028.50","1,035.00","1,015.50","10.83M","0.49%"
"08/08/2023","1,010.50","1,013.00","1,020.50","1,006.50","4.16M","-1.56%"
"07/08/2023","1,026.50","1,026.00","1,033.50","1,019.50","8.25M","-0.44%"
"04/08/2023","1,031.00","1,024.50","1,035.50","1,013.00","2.42M","1.23%"
"03/08/2023","1,018.50","1,010.50","1,019.50","1,001.50","22.94M","0.59%"
"02/08/2023","1,012.50","1,030.00","1,040.50","1,012.00","5.26M","-4.44%"
"01/08/2023","1,059.50","1,069.00","1,075.50","1,053.49","3.05M","-2.12%"
"31/07/2023","1,082.50","1,094.00","1,100.00","1,081.00","4.08M","-1.68%"
"28/07/2023","1,101.00","1,093.50","1,102.50","1,084.50","2.93M","0.55%"
"27/07/2023","1,095.00","1,093.00","1,096.50","1,083.50","6.89M","0.60%"
"26/07/2023","1,088.50","1,078.00","1,088.50","1,072.00","2.38M","-0.05%"
"25/07/2023","1,089.00","1,065.00","1,101.00","1,060.50","10.38M","3.37%"
"24/07/2023","1,053.50","1,026.00","1,053.50","1,015.50","8.19M","0.96%"
"21/07/2023","1,043.50","1,076.00","1,077.00","1,043.00","3.94M","-2.98%"
"20/07/2023","1,075.50","1,057.00","1,088.00","1,056.00","7.23M","1.08%"
"19/07/2023","1,064.00","1,082.00","1,087.00","1,064.00","4.06M","-1.02%"
"18/07/2023","1,075.00","1,053.50","1,079.50","1,047.00","6.00M","1.56%"
"17/07/2023","1,058.50","1,063.50","1,068.00","1,054.50","3.16M","-1.21%"
"14/07/2023","1,071.50","1,075.50","1,085.00","1,071.50","5.09M","-0.83%"
"13/07/2023","1,080.50","1,071.50","1,088.50","1,068.50","2.42M","1.98%"
"12/07/2023","1,059.50","1,043.50","1,067.50","1,039.50","3.25M","1.78%"
"11/07/2023","1,041.00","1,055.00","1,060.50","1,031.50","6.73M","-0.24%"
"10/07/2023","1,043.50","1,034.00","1,053.00","1,019.50","2.55M","0.43%"
"07/07/2023","1,039.00","1,032.00","1,045.50","1,027.50","3.38M","0.24%"
"06/07/2023","1,036.50","1,040.00","1,056.50","1,030.00","8.47M","-2.49%"
"05/07/2023","1,063.00","1,090.00","1,097.00","1,061.50","3.78M","-3.89%"
"04/07/2023","1,106.00","1,114.00","1,117.50","1,101.00","2.98M","-0.14%"
"03/07/2023","1,107.50","1,121.00","1,123.00","1,102.00","1.69M","-0.09%"
"30/06/2023","1,108.50","1,082.50","1,108.50","1,080.50","4.38M","2.35%"
"29/06/2023","1,083.00","1,096.50","1,099.00","1,077.50","2.52M","-1.90%"
"28/06/2023","1,104.00","1,100.50","1,114.00","1,097.00","3.29M","1.01%"
"27/06/2023","1,093.00","1,089.00","1,101.00","1,087.50","11.82M","1.53%"
"26/06/2023","1,076.50","1,075.50","1,079.50","1,064.00","1.77M","-0.14%"
"23/06/2023","1,078.00","1,073.00","1,081.00","1,059.50","3.63M","-0.60%"
"22/06/2023","1,084.50","1,079.00","1,096.50","1,074.50","6.64M","-1.00%"
"21/06/2023","1,095.50","1,093.00","1,118.00","1,091.13","3.26M","-0.45%"
"20/06/2023","1,100.50","1,118.50","1,126.00","1,090.00","3.45M","-2.52%"
"19/06/2023","1,129.00","1,112.00","1,131.00","1,111.50","4.04M","0.40%"
"16/06/2023","1,124.50","1,143.00","1,147.15","1,120.50","10.59M","-0.93%"
"15/06/2023","1,135.00","1,135.00","1,145.50","1,122.50","3.55M","-0.09%"
"14/06/2023","1,136.00","1,116.00","1,153.00","1,111.00","6.82M","1.84%"
"13/06/2023","1,115.50","1,123.00","1,132.00","1,106.50","6.96M","0.04%"
"12/06/2023","1,115.00","1,125.00","1,128.00","1,110.25","2.30M","0.09%"
"09/06/2023","1,114.00","1,116.50","1,126.50","1,112.50","2.58M","-0.93%"
"08/06/2023","1,124.50","1,133.50","1,138.25","1,116.50","2.23M","-0.97%"
"07/06/2023","1,135.50","1,138.00","1,143.00","1,131.00","2.71M","-0.87%"
"06/06/2023","1,145.50","1,126.00","1,148.00","1,118.50","2.99M","0.75%"
"05/06/2023","1,137.00","1,153.00","1,161.51","1,130.00","2.38M","-1.39%"
"02/06/2023","1,153.00","1,113.50","1,160.25","1,113.50","5.39M","5.68%"
"01/06/2023","1,091.00","1,072.50","1,092.50","1,067.00","4.92M","3.31%"
"31/05/2023","1,056.00","1,110.00","1,110.00","1,053.50","14.51M","-6.13%"
"30/05/2023","1,125.00","1,117.00","1,137.00","1,110.50","2.68M","0.00%"
"26/05/2023","1,125.00","1,111.00","1,131.50","1,094.00","4.51M","1.40%"
"25/05/2023","1,109.50","1,099.50","1,117.00","1,085.00","4.54M","0.73%"
"24/05/2023","1,101.50","1,145.50","1,145.50","1,092.00","6.26M","-5.94%"
"23/05/2023","1,171.00","1,182.50","1,188.50","1,164.00","4.49M","-1.01%"
"22/05/2023","1,183.00","1,177.00","1,184.00","1,171.50","2.70M","0.42%"
"19/05/2023","1,178.00","1,169.00","1,188.00","1,164.00","3.72M","1.20%"
"18/05/2023","1,164.00","1,164.00","1,168.00","1,150.00","3.10M","1.04%"
"17/05/2023","1,152.00","1,132.00","1,153.50","1,131.50","3.31M","0.79%"
"16/05/2023","1,143.00","1,157.50","1,161.50","1,140.32","15.05M","-2.39%"
"15/05/2023","1,171.00","1,166.50","1,174.00","1,160.50","2.90M","1.30%"
"12/05/2023","1,156.00","1,184.50","1,189.50","1,153.00","3.39M","-2.16%"
"11/05/2023","1,181.50","1,180.50","1,189.00","1,152.50","3.36M","0.30%"
"10/05/2023","1,178.00","1,184.00","1,191.00","1,170.50","3.13M","0.30%"
"09/05/2023","1,174.50","1,185.00","1,187.50","1,155.50","4.78M","-1.18%"
"05/05/2023","1,188.50","1,163.00","1,195.00","1,161.00","2.84M","2.55%"
"04/05/2023","1,159.00","1,188.50","1,191.00","1,150.00","4.08M","-2.81%"
"03/05/2023","1,192.50","1,198.50","1,215.50","1,191.00","4.10M","-0.21%"
"02/05/2023","1,195.00","1,211.50","1,234.00","1,195.00","5.73M","-1.36%"
"28/04/2023","1,211.50","1,201.00","1,220.18","1,178.50","6.32M","4.17%"
"27/04/2023","1,163.00","1,146.00","1,163.00","1,132.50","4.89M","3.98%"
"26/04/2023","1,118.50","1,123.00","1,131.50","1,104.50","4.91M","-1.02%"
"25/04/2023","1,130.00","1,133.50","1,142.00","1,124.75","6.60M","-1.27%"
"24/04/2023","1,144.50","1,138.50","1,156.50","1,133.00","3.53M","-0.61%"
"21/04/2023","1,151.50","1,148.00","1,152.75","1,136.50","3.73M","-0.13%"
"20/04/2023","1,153.00","1,172.50","1,174.00","1,149.00","7.88M","-1.11%"
"19/04/2023","1,166.00","1,166.00","1,169.50","1,153.00","3.41M","-0.43%"
"18/04/2023","1,171.00","1,150.00","1,177.50","1,145.50","5.14M","2.27%"
"17/04/2023","1,145.00","1,174.00","1,176.00","1,141.00","4.86M","-2.05%"
"14/04/2023","1,169.00","1,165.50","1,175.05","1,155.66","3.61M","0.86%"
"13/04/2023","1,159.00","1,146.00","1,166.50","1,145.00","4.08M","0.70%"
"12/04/2023","1,151.00","1,144.00","1,165.50","1,144.00","4.12M","0.92%"
"11/04/2023","1,140.50","1,133.50","1,145.50","1,133.50","3.74M","1.20%"
"06/04/2023","1,127.00","1,106.50","1,127.00","1,106.50","2.81M","2.18%"
"05/04/2023","1,103.00","1,115.50","1,116.00","1,100.00","2.36M","-0.68%"
"04/04/2023","1,110.50","1,122.50","1,136.00","1,110.50","3.64M","-0.27%"
"03/04/2023","1,113.50","1,109.50","1,134.91","1,106.50","4.43M","1.04%"
"31/03/2023","1,102.00","1,107.50","1,113.50","1,097.00","4.17M","-1.12%"
"30/03/2023","1,114.50","1,095.50","1,126.00","1,095.50","4.87M","2.34%"
"29/03/2023","1,089.00","1,065.50","1,092.50","1,055.00","9.84M","4.26%"
"28/03/2023","1,044.50","1,032.00","1,045.00","1,023.50","4.52M","1.75%"
"27/03/2023","1,026.50","1,051.00","1,051.00","1,018.75","5.60M","0.24%"
"24/03/2023","1,024.00","1,059.50","1,062.00","1,009.00","6.28M","-3.94%"
"23/03/2023","1,066.00","1,055.00","1,078.00","1,052.00","30.02M","-0.74%"
"22/03/2023","1,074.00","1,060.00","1,079.00","1,053.00","13.50M","0.85%"
"21/03/2023","1,065.00","1,035.00","1,070.50","1,031.00","5.80M","5.19%"
"20/03/2023","1,012.50","976.60","1,018.00","934.20","10.23M","0.45%"
"17/03/2023","1,008.00","1,061.00","1,068.50","1,001.50","12.77M","-3.95%"
"16/03/2023","1,049.50","1,060.50","1,071.50","1,006.00","19.30M","1.30%"
"15/03/2023","1,036.00","1,151.00","1,157.00","1,029.45","10.53M","-12.43%"
"14/03/2023","1,183.00","1,160.50","1,187.50","1,144.75","6.53M","2.07%"
"13/03/2023","1,159.00","1,229.50","1,233.41","1,154.50","10.29M","-5.66%"
"10/03/2023","1,228.50","1,240.00","1,247.50","1,215.00","14.10M","-3.99%"
"09/03/2023","1,279.50","1,270.50","1,296.26","1,266.50","14.05M","0.35%"
"08/03/2023","1,275.00","1,257.50","1,284.00","1,254.00","3.21M","0.39%"
"07/03/2023","1,270.00","1,260.00","1,289.00","1,256.24","6.83M","0.51%"
"06/03/2023","1,263.50","1,270.00","1,273.50","1,256.00","2.04M","-0.24%"
"03/03/2023","1,266.50","1,264.50","1,285.50","1,257.50","4.39M","-0.24%"
"02/03/2023","1,269.50","1,284.50","1,289.00","1,262.50","7.87M","-1.89%"
"01/03/2023","1,294.00","1,284.50","1,302.00","1,279.00","7.36M","1.93%"
"28/02/2023","1,269.50","1,244.50","1,277.50","1,241.50","5.77M","1.44%"
