"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","618.30","617.00","621.20","613.60","16.47M","-0.11%"
"02/03/2023","619.00","621.40","626.50","611.40","17.47M","-3.33%"
"01/03/2023","640.30","636.00","641.30","633.10","41.27M","0.74%"
"28/02/2023","635.60","628.30","639.80","627.80","28.24M","0.60%"
"27/02/2023","631.80","630.40","635.90","628.80","52.96M","-0.61%"
"24/02/2023","635.70","630.30","637.10","630.30","15.30M","0.89%"
"23/02/2023","630.10","630.00","632.00","622.60","16.38M","-0.94%"
"22/02/2023","636.10","639.50","642.00","631.65","29.63M","-1.76%"
"21/02/2023","647.50","609.50","653.80","607.90","63.11M","4.32%"
"20/02/2023","620.70","622.10","626.40","619.80","26.97M","-0.06%"
"17/02/2023","621.10","619.50","623.70","614.00","45.91M","0.44%"
"16/02/2023","618.40","614.80","621.00","612.80","18.47M","1.00%"
"15/02/2023","612.30","604.00","614.00","601.90","26.50M","0.51%"
"14/02/2023","609.20","611.20","611.80","605.30","18.49M","-0.73%"
"13/02/2023","613.70","610.60","615.20","610.30","15.17M","0.51%"
"10/02/2023","610.60","611.50","613.60","608.20","39.27M","-0.84%"
"09/02/2023","615.80","611.00","620.50","610.00","47.34M","0.56%"
"08/02/2023","612.40","608.90","612.90","604.20","31.60M","1.22%"
"07/02/2023","605.00","602.60","606.30","600.90","21.17M","1.51%"
"06/02/2023","596.00","598.10","599.00","591.60","10.96M","-0.12%"
"03/02/2023","596.70","584.80","599.10","584.20","19.82M","0.96%"
"02/02/2023","591.00","594.90","596.05","587.80","26.62M","-1.71%"
"01/02/2023","601.30","592.00","601.30","590.70","22.57M","0.82%"
"31/01/2023","596.40","598.00","599.90","591.80","25.93M","-0.93%"
"30/01/2023","602.00","597.90","602.60","592.10","49.67M","0.25%"
"27/01/2023","600.50","601.00","603.60","596.50","20.03M","-0.56%"
"26/01/2023","603.90","598.10","603.90","596.50","33.62M","0.90%"
"25/01/2023","598.50","596.30","599.50","594.20","26.25M","0.62%"
"24/01/2023","594.80","594.20","597.50","589.37","12.19M","0.46%"
"23/01/2023","592.10","593.00","595.50","592.10","11.83M","-0.08%"
"20/01/2023","592.60","589.00","593.10","587.10","18.19M","1.21%"
"19/01/2023","585.50","587.00","588.60","578.70","33.46M","-0.88%"
"18/01/2023","590.70","589.20","593.30","586.90","36.17M","-0.08%"
"17/01/2023","591.20","595.10","596.70","589.10","43.30M","-0.82%"
"16/01/2023","596.10","593.40","598.00","592.07","14.32M","0.83%"
"13/01/2023","591.20","585.00","594.60","584.20","49.76M","1.62%"
"12/01/2023","581.80","572.30","585.65","571.20","23.03M","2.14%"
"11/01/2023","569.60","566.50","573.00","565.20","49.13M","0.98%"
"10/01/2023","564.10","561.90","566.40","559.74","12.61M","0.16%"
"09/01/2023","563.20","564.50","566.80","561.60","20.82M","-0.95%"
"06/01/2023","568.60","566.00","569.85","559.60","29.11M","0.58%"
"05/01/2023","565.30","548.00","568.40","545.40","32.72M","4.01%"
"04/01/2023","543.50","535.10","544.80","532.50","18.46M","2.57%"
"03/01/2023","529.90","518.10","531.70","515.70","26.85M","2.75%"
"30/12/2022","515.70","516.90","519.20","515.60","8.15M","-0.60%"
"29/12/2022","518.80","516.90","520.15","514.40","7.09M","0.15%"
"28/12/2022","518.00","515.30","520.70","510.70","11.56M","1.51%"
"23/12/2022","510.30","511.40","513.30","508.90","4.02M","-0.39%"
"22/12/2022","512.30","512.70","516.10","510.60","9.80M","0.20%"
"21/12/2022","511.30","501.80","511.90","501.40","13.39M","1.69%"
"20/12/2022","502.80","495.50","503.90","494.70","33.32M","1.42%"
"19/12/2022","495.75","493.85","496.85","492.15","9.36M","0.71%"
"16/12/2022","492.25","493.00","496.30","481.00","48.74M","-0.08%"
"15/12/2022","492.65","492.50","493.80","487.65","16.24M","-1.01%"
"14/12/2022","497.70","500.00","502.80","496.65","42.74M","-0.48%"
"13/12/2022","500.10","498.20","508.00","497.70","20.39M","0.76%"
"12/12/2022","496.35","499.60","499.95","493.10","13.96M","0.03%"
"09/12/2022","496.20","495.90","498.35","493.60","13.56M","0.18%"
"08/12/2022","495.30","494.60","499.00","493.50","13.32M","0.29%"
"07/12/2022","493.85","495.50","498.30","491.85","27.99M","-0.96%"
"06/12/2022","498.65","496.70","503.00","496.00","18.40M","-0.27%"
"05/12/2022","500.00","497.00","502.80","494.40","15.38M","0.30%"
"02/12/2022","498.50","492.95","499.15","488.30","19.09M","0.12%"
"01/12/2022","497.90","501.00","506.70","497.35","17.90M","-2.32%"
"30/11/2022","509.70","507.30","511.90","504.50","39.13M","-0.12%"
"29/11/2022","510.30","490.65","515.40","490.30","27.96M","4.44%"
"28/11/2022","488.60","481.40","490.40","481.20","42.16M","-0.68%"
"25/11/2022","491.95","487.80","491.95","487.80","21.80M","0.50%"
"24/11/2022","489.50","489.55","492.98","487.52","7.95M","0.06%"
"23/11/2022","489.20","486.95","491.45","484.70","13.75M","0.48%"
"22/11/2022","486.85","484.25","489.50","483.55","12.15M","0.69%"
"21/11/2022","483.50","479.55","486.00","478.10","29.83M","0.96%"
"18/11/2022","478.90","474.75","484.45","474.10","25.92M","-0.48%"
"17/11/2022","481.20","476.90","481.40","471.30","13.71M","1.20%"
"16/11/2022","475.50","478.10","479.90","473.95","15.79M","-0.94%"
"15/11/2022","480.00","482.50","483.90","475.95","18.78M","-0.06%"
"14/11/2022","480.30","472.75","483.00","471.30","16.06M","2.15%"
"11/11/2022","470.20","472.25","476.60","469.65","21.75M","-0.83%"
"10/11/2022","474.15","475.50","479.05","468.95","18.06M","-0.53%"
"09/11/2022","476.70","477.15","478.35","472.85","9.69M","-0.41%"
"08/11/2022","478.65","478.45","482.15","475.84","11.17M","-0.16%"
"07/11/2022","479.40","482.31","491.40","476.10","23.31M","-2.16%"
"04/11/2022","490.00","471.65","495.42","468.55","42.03M","5.80%"
"03/11/2022","463.15","454.40","463.15","452.95","16.53M","1.39%"
"02/11/2022","456.80","460.00","460.95","450.30","14.35M","-0.38%"
"01/11/2022","458.55","453.60","459.60","452.85","31.82M","2.52%"
"31/10/2022","447.30","443.30","453.00","442.45","27.45M","1.15%"
"28/10/2022","442.20","445.45","446.05","439.65","17.72M","-1.77%"
"27/10/2022","450.15","446.15","452.15","442.50","18.20M","1.40%"
"26/10/2022","443.95","449.35","449.75","434.70","50.08M","0.29%"
"25/10/2022","442.65","460.30","460.38","436.20","39.14M","-6.83%"
"24/10/2022","475.10","471.00","477.60","468.25","23.21M","-0.58%"
"21/10/2022","477.85","474.75","478.30","467.90","18.47M","1.05%"
"20/10/2022","472.90","473.25","477.70","470.80","22.44M","-0.23%"
"19/10/2022","474.00","469.00","477.75","466.65","21.20M","1.77%"
"18/10/2022","465.75","472.15","476.45","464.65","18.04M","-1.17%"
"17/10/2022","471.25","464.00","475.20","462.45","31.81M","2.71%"
"14/10/2022","458.80","463.32","465.15","456.25","35.88M","-0.10%"
"13/10/2022","459.25","448.15","461.80","442.35","28.82M","2.27%"
"12/10/2022","449.05","453.00","453.90","443.63","24.76M","-1.20%"
"11/10/2022","454.50","461.20","462.15","452.85","21.25M","-1.78%"
"10/10/2022","462.75","463.05","467.70","461.65","23.43M","-0.91%"
"07/10/2022","467.00","470.00","473.35","463.90","17.39M","-0.91%"
"06/10/2022","471.30","474.00","478.45","468.40","39.58M","-0.23%"
"05/10/2022","472.40","477.00","478.55","465.15","37.51M","-1.98%"
"04/10/2022","481.95","462.25","484.31","461.40","48.86M","4.45%"
"03/10/2022","461.40","462.40","463.15","453.50","19.66M","-1.26%"
"30/09/2022","467.30","468.50","483.63","465.00","32.64M","0.06%"
"29/09/2022","467.00","476.60","479.50","461.95","26.94M","-3.40%"
"28/09/2022","483.45","484.00","485.15","469.55","36.58M","-2.47%"
"27/09/2022","495.70","502.00","504.10","495.35","39.98M","-1.18%"
"26/09/2022","501.60","501.30","506.08","492.00","33.02M","-1.65%"
"23/09/2022","510.00","519.30","522.00","505.50","28.79M","-0.97%"
"22/09/2022","515.00","519.70","523.70","512.93","20.04M","-1.89%"
"21/09/2022","524.90","537.00","537.00","518.90","56.20M","-1.72%"
"20/09/2022","534.10","537.60","541.00","530.20","25.53M","0.85%"
"16/09/2022","529.60","530.90","537.00","527.30","46.05M","-0.02%"
"15/09/2022","529.70","523.80","531.60","521.80","20.44M","2.08%"
"14/09/2022","518.90","528.10","529.60","517.20","19.36M","-2.02%"
"13/09/2022","529.60","535.30","535.40","527.40","15.73M","-1.19%"
"12/09/2022","536.00","528.50","539.10","526.00","25.58M","2.10%"
"09/09/2022","525.00","526.20","530.20","524.30","17.30M","-0.10%"
"08/09/2022","525.50","525.70","529.30","520.70","15.42M","0.48%"
"07/09/2022","523.00","530.00","531.30","518.80","26.95M","-2.00%"
"06/09/2022","533.70","535.30","539.10","528.50","12.11M","-0.58%"
